Tweet_Length,Tweet_Date,UserName,Full_Tweets,Tweet_Links,at_word,Mention_Count
140,2023-02-09 19:42:43+00:00,Purina, thank you for reaching out  we re sorry that we are experiencing some technical difficulties and our ded,https://t.co/k5ncW6PGIU,lhartness,1
139,2023-02-09 19:41:43+00:00,Purina, thank you for reaching out  we re sorry that we are experiencing some technical difficulties and our,https://t.co/tABQff7epw,fireshadowed,1
140,2023-02-09 16:09:53+00:00,Purina, thank you for reaching out to us  when you have a chance  please send us a private message with th,https://t.co/GMsyUvy5Oq,BonnieblueBlue,1
144,2023-02-09 05:00:15+00:00,Purina, thanks for reaching out about alpo come   get it  we are sorry to share that while most sizes have been,https://t.co/VsPUdZPWfP,waffletower,1
94,2023-02-08 20:44:37+00:00,Purina, we can t keep our tails from wagging in anticipation of the  purinapetparade ,httpNone,OpenDoorAnimals,1
140,2023-02-08 00:52:31+00:00,Purina, thanks for reaching out  please know that we are constantly working to better meet that goal and are,https://t.co/P0UXJuIkAo,seansparkyboy,1
140,2023-02-07 14:10:14+00:00,Purina, we ve got our paws crossed that brittany and patrick find their loving homes soon  and can t wait to s,https://t.co/O8nHJwKHi6,paigehulsey,1
140,2023-02-07 11:39:20+00:00,Purina, we are sorry to see that you had this experience with our product  we would like to assist you further  so plea,https://t.co/qZ5YjMNS5u,e38simp,1
140,2023-02-07 02:47:51+00:00,Purina, thanks for reaching out  tammy  we are so sorry for the inconvenience caused by the discontinuation,https://t.co/M0Zstb8HxJ,tammydcriminger,1
92,2023-02-07 00:04:05+00:00,Purina, we re so happy to hear that pappy is enjoying the fancy feast broths  wanda ,httpNone,NFTWanda_43,1
140,2023-02-06 16:48:18+00:00,Purina, thank you so much for reaching out to us  when you have a moment  please send us a private message with y,https://t.co/K9zAeftpdM,rjsstlmo,1
144,2023-02-06 14:27:37+00:00,Purina, we re so appreciative of the entire sheriff s office   k9 unit for everything that you do to serve a,https://t.co/8UT7WGmc1B,SheriffClayCo,1
140,2023-02-06 09:32:13+00:00,Purina, thank you for contacting us  please know that you ve reached purina usa and canada  to further assi,https://t.co/bz42sKu2IW,louise_dunsire,1
100,2023-02-05 23:24:27+00:00,Purina, we are so sorry to see this  we received your dm and have responded there  thank you ,httpNone,thecoolguy4356,1
140,2023-02-05 16:14:20+00:00,Purina, thank you for reaching out to us  please know that you ve reached purina usa and canada  to serve you be,https://t.co/5yDjYobKrt,SarahAcid,1
140,2023-02-05 14:53:30+00:00,Purina, we are truly sorry for the delay in our response  thank you so much for sending us a dm  and we ve sent y,https://t.co/PdjwwEQeRu,mccullup,1
57,2023-02-05 08:07:29+00:00,Purina, no can resist bacon  love her enthusiasm  ,httpNone,CoachJennGCDF,1
140,2023-02-05 01:51:37+00:00,Purina, we are honored to be part of your teams effort to support and promote youth education and leadership tra,https://t.co/Xs2dfFb8C1,FOCUSstl,1
139,2023-02-04 23:49:31+00:00,Purina, thanks for reaching out  we are sorry to hear that the inconsistency of pet food has affected you and,https://t.co/MH5GpIL7g6,jimboe123456,1
139,2023-02-04 22:22:46+00:00,Purina, thanks for reaching out  and we are so sorry you had this experience with our litter  we take complaints of,https://t.co/YZrHy1JFeu,Cescui,1
139,2023-02-04 01:29:02+00:00,Purina, we are terribly sorry to learn of this  and we would like the opportunity to learn more about your experience,https://t.co/dqGwVN2J2d,mccullup,1
86,2023-02-03 11:49:26+00:00,Purina, we appreciate all that you do for the community  and you are our superheroes ,httpNone,YourSPCA,1
140,2023-02-03 01:23:57+00:00,Purina, we re sorry for any concern this has caused  as you re likely seeing are naturally occurring small hairs,https://t.co/kuUpEjWnj8,Paris5503,1
140,2023-02-03 00:32:46+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicke,https://t.co/8aXxKX108G,TruckunSama,1
140,2023-02-03 00:30:50+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/wtQszMEgIH,Sherry38063867,1
144,2023-02-03 00:14:49+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lake,https://t.co/TQyjxR2yqG,MountainMagg,1
144,2023-02-03 00:08:27+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lak,https://t.co/UEHKhmQONK,THEONETRUEXRP,1
144,2023-02-03 00:05:28+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o l,https://t.co/AN6GkEWfxI,Michael10619294,1
144,2023-02-03 00:01:04+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes  mak,https://t.co/fLtQRrHnZk,81danw,1
144,2023-02-02 21:26:23+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lak,https://t.co/IMHFtutDp3,florabelle444,1
140,2023-02-02 21:24:38+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/EAabqgvOiQ,mrs_kratos,1
140,2023-02-02 21:17:40+00:00,Purina, hi  ralston purina company sold its domestic agricultural feed subsidiary in 1986 to purina mills inc,https://t.co/hsHVsf2r2v,wb41gatewood,1
143,2023-02-02 21:14:44+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/4J3gPqG0eP,Pallas221,1
144,2023-02-02 21:13:25+00:00,Purina, hi  at nestle purina  we make only quality dog   cat products  purina animal nutrition  owned by l,https://t.co/A7UCs2MV1F,lovewinsall4eva,1
140,2023-02-02 21:11:06+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/vJXRFnRLvl,thebatman2025,1
140,2023-02-02 21:09:52+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken f,https://t.co/lMAhBQgkZT,wtanke01,1
139,2023-02-02 21:07:38+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/kTwDdsIq1b,warner_rd,1
140,2023-02-02 21:00:25+00:00,Purina, hi  ralston purina company sold its domestic agricultural feed subsidiary in 1986 to purina mills i,https://t.co/cGKGBCbQK5,MrRightMinded1,1
140,2023-02-02 20:53:45+00:00,Purina, thanks for asking  we do source a limited amount of ingredients from other countries  including china  t,https://t.co/V3wYwMvKyf,Torquemob,1
144,2023-02-02 20:46:02+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes,https://t.co/3k04z5Ye3f,BarryBarcia,1
140,2023-02-02 20:35:30+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/57ciEqOp0p,diamondpixi779,1
144,2023-02-02 20:17:48+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lak,https://t.co/5SzuVwCjZe,limmer_ronnie,1
144,2023-02-02 19:57:59+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes,https://t.co/pjhnTT6t9E,mjohnston37,1
144,2023-02-02 19:56:44+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o la,https://t.co/2wYW4s3vW6,DaFleetCaptain,1
112,2023-02-02 19:54:21+00:00,Purina, thank you for being a part of the purina family  please give your dog some extra belly rubs from us ,httpNone,ChadHoffy7,1
144,2023-02-02 19:52:23+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes,https://t.co/L1uZoKvh4e,finderneddy,1
144,2023-02-02 19:51:17+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lak,https://t.co/HjQr83YhSD,jrodriguez100,1
144,2023-02-02 19:48:53+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/PTDbGSwx5O,Kingguyo13,1
140,2023-02-02 19:40:37+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/bv8yyxOdHI,MrRightMinded1,1
140,2023-02-02 19:38:37+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/mTxs5MNSKa,PaulaJe80843484,1
140,2023-02-02 19:36:32+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/0nOt3VvCe3,Liverpool151268,1
76,2023-02-02 19:32:16+00:00,Purina, we are thrilled to hear your pets are thriving on purina ,httpNone,GreystoneFarm,1
140,2023-02-02 19:28:15+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent news,https://t.co/Fcnxysvngc,MrFlagg,1
140,2023-02-02 17:57:52+00:00,Purina, ralston purina company sold its domestic agricultural feed subsidiary in 1986 to purina mills incorpo,https://t.co/6ooGRXa0M3,MsMomoMartin,1
140,2023-02-02 17:51:02+00:00,Purina, ralston purina company sold its domestic agricultural feed subsidiary in 1986 to purina mills incorp,https://t.co/XJ2UrdiPjy,Nakedgoat2022,1
